csd_code,year,muni_id,MUNID,LOCALID,muni_name,turnout,turnout_noavg,intvoting,total_treats,VBM,phonevoting,paper_ballots_eliminated,adv_only,p_int_votes,p_phone_votes,p_paper_votes,no_reg_barrier,winner,second_place,margin,compet,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
11035,2000,m001,11033,11033,Addington Highlands,0.471,0.471,0,3,1,0,1,0,,,,,NA,NA,1,0,3511035,Lennox and Addington County,3511,Addington Highlands,35,2402,1288.85,1.863676921,0.025641026,12.4,0.176935887,14803,0.04989154
11035,2003,m001,11033,11033,Addington Highlands,0.383,0.383,0,3,1,0,1,0,,,,,0.648,0.284,0.364,0.636,3511035,Lennox and Addington County,3511,Addington Highlands,35,2457,1288.66,1.906631695,0.038614164,9.6,0.205997824,15470.5,0.058688102
11035,2006,m001,11033,11033,Addington Highlands,0.32,0.32,1,3,0,1,1,0,,,,,0.63,0.37,0.26,0.74,3511035,Lennox and Addington,3511,Addington Highlands,35,2512,1288.47,1.949599137,0.051587302,6.8,0.235059761,16138,0.067484663
11035,2010,m001,11033,11033,Addington Highlands,0.336,0.336,1,3,0,1,1,0,,,,,NA,NA,1,0,3511035,Lennox and Addington,3511,Addington Highlands,35,2532,1329.93,1.903859602,0.068884819,3.066666667,0.270750988,17028,0.079213412
11035,2014,m001,11033,11033,Addington Highlands,0.287,0.287,1,3,0,1,1,0,0.628,0.372,0,1,0.71,0.29,0.42,0.58,3511035,Lennox and Addington,3511,Addington Highlands,35,2598.027397,1335.390822,1.945518387,0.086182337,0,0.30908133,17918,0.09094216
39047,2000,m002,39010,39010,Adelaide-Metcalfe,0.269,NA,0,1,0,0,0,0,,,,,NA,NA,NA,NA,3539047,Middlesex County,3539,Adelaide Metcalfe,47,3149,331.84,9.489513018,0.094871795,3,0.088917117,21390,0.115966387
39047,2003,m002,39010,39010,Adelaide-Metcalfe,0.237,0.237,0,1,0,0,0,0,,,,,NA,NA,1,0,3539047,Middlesex County,3539,Adelaide Metcalfe,47,3133,331.55,9.44955512,0.071170075,3.45,0.114281994,24833.5,0.110348059
39047,2006,m002,39010,39010,Adelaide-Metcalfe,0.26,0.26,0,1,0,0,0,0,,,,,NA,NA,1,0,3539047,Middlesex,3539,Adelaide Metcalfe,47,3117,331.26,9.40952726,0.047468354,3.9,0.13964687,28277,0.10472973
39047,2010,m002,39010,39010,Adelaide-Metcalfe,0.31,0.31,0,1,0,0,0,0,,,,,NA,NA,1,0,3539047,Middlesex,3539,Adelaide-Metcalfe,47,3028,331.38,9.13754602,0.085245902,5.1,0.12892562,28644,0.137479542
39047,2014,m002,39010,39010,Adelaide-Metcalfe,0.46,0.46,1,1,0,1,1,0,0.76,0.24,0,1,0.5735,0.4333,0.1402,0.8598,3539047,Middlesex,3539,Adelaide-Metcalfe,47,2997.39726,331.0627397,9.053864723,0.063147696,5.782191781,0.156643937,32656.65753,0.135500892
18005,2000,m005,18005,18005,Ajax,0.325,0.325,0,1,0,0,0,0,,,,,0.8746,0.1254,0.7492,0.2508,3518005,Durham Regional Municipality,3518,Ajax,5,73753,67.09,1099.314354,0.151389171,5.4,0.070505607,30870,0.254352557
18005,2003,m005,18005,18005,Ajax,0.267,0.267,0,1,0,0,0,0,,,,,0.7108,0.2892,0.4216,0.5784,3518005,Durham Regional Municipality,3518,Ajax,5,81960,67.09,1221.64257,0.153150123,5.9,0.074292342,31948,0.283434975
18005,2006,m005,18005,18005,Ajax,0.232,0.232,0,1,0,0,0,0,,,,,0.7073,0.2946,0.4127,0.5873,3518005,Durham,3518,Ajax,5,90167,67.09,1343.970786,0.154911075,6.4,0.078079077,33026,0.312517393
18005,2010,m005,18005,18005,Ajax,0.26,0.26,0,1,0,0,0,0,,,,,0.7908,0.2091,0.5817,0.4183,3518005,Durham,3518,Ajax,5,109600,67.07,1634.113613,0.174326986,8.7,0.087408759,35981,0.341649881
18005,2014,m005,18005,18005,Ajax,0.304,0.304,1,1,0,1,1,0,0.923,0.077,0,1,0.8227,0.096,0.7267,0.2733,3518005,Durham,3518,Ajax,5,121705.726,67.06726027,1814.681642,0.179013001,9.590410959,0.093044137,37626.23288,0.379105333
47002,2000,m014,47002,47002,Arnprior,0.542,0.542,0,2,0,0,0,0,,,,,0.563,0.436,0.127,0.873,3547002,Renfrew County,3547,Arnprior,2,7192,13.03,551.9570223,0.0997151,7.2,0.177280311,21749,0.0546875
47002,2003,m014,47002,47002,Arnprior,0.64,0.64,0,2,1,0,1,0,,,,,0.678,0.322,0.356,0.644,3547002,Renfrew County,3547,Arnprior,2,7175,13.035,550.4411201,0.08983045,6.65,0.190246301,23535,0.055592338
47002,2006,m014,47002,47002,Arnprior,0.58,0.58,0,2,1,0,1,0,,,,,0.698,0.302,0.396,0.604,3547002,Renfrew,3547,Arnprior,2,7158,13.04,548.9263804,0.079945799,6.1,0.203212291,25321,0.056497175
47002,2010,m014,47002,47002,Arnprior,0.645,0.645,1,2,0,1,1,0,,,,,0.414,0.386,0.028,0.972,3547002,Renfrew,3547,Arnprior,2,8114,13.04,622.2392638,0.09178744,9.4,0.227496917,28099,0.045309509
47002,2014,m014,47002,47002,Arnprior,0.415,0.415,1,2,0,1,1,0,0.732,0.268,0,1,NA,NA,1,0,3547002,Renfrew,3547,Arnprior,2,8225.39726,13.04575342,630.5038117,0.082035464,9.219178082,0.245743347,30534.67123,0.044818135
7006,2000,m021,7006,7006,Augusta,0.37,0.37,0,3,0,0,0,0,,,,,0.503,0.497,0.006,0.994,3507006,Leeds and Grenville United Counties,3507,Augusta,6,7635,314.06,24.31064128,0.103231598,6.2,0.121807466,25947,0.090432503
7006,2003,m021,7006,7006,Augusta,0.546,0.546,0,3,0,0,0,0,,,,,0.335,0.301,0.034,0.966,3507006,Leeds and Grenville United Counties,3507,Augusta,6,7572.5,314.06,24.11163472,0.090537955,5.25,0.131476303,27264.5,0.096148342
7006,2006,m021,7006,7006,Augusta,0.482,0.482,1,3,0,1,0,0,,,,,0.839,0.0862,0.678,0.322,3507006,Leeds and Grenville,3507,Augusta,6,7510,314.06,23.91262816,0.077844311,4.3,0.14114514,28582,0.101864181
7006,2010,m021,7006,7006,Augusta,0.403,0.403,1,3,0,1,0,0,,,,,NA,NA,1,0,3507006,Leeds and Grenville,3507,Augusta,6,7430,314.73,23.60753662,0.106699752,6,0.172274563,29499,0.084067797
7006,2014,m021,7006,7006,Augusta,0.421,0.421,1,3,0,1,0,0,0.627,0.138,0.235,1,0.56,0.44,0.12,0.88,3507006,Leeds and Grenville,3507,Augusta,6,7347.123288,314.8217808,23.33740464,0.096046168,5.139726027,0.187664653,31140.64384,0.088207066
12005,2000,m029,12005,12005,Belleville,0.482,0.482,0,2,0,0,0,0,,,,,0.39,0.38,0.01,0.99,3512005,Hastings County,3512,Belleville,5,45986,241.79,190.1898342,0.12016473,7.6,0.166354978,20907,0.09888163
12005,2003,m029,12005,12005,Belleville,0.41,0.41,0,2,0,0,0,0,,,,,0.4,0.38,0.02,0.98,3512005,Hastings County,3512,Belleville,5,47403.5,244.275,194.0579265,0.107625314,7.05,0.174072614,22829,0.101816794
12005,2006,m029,12005,12005,Belleville,0.509,0.509,0,2,0,0,0,0,,,,,0.618,0.235,0.383,0.617,3512005,Hastings,3512,Belleville,5,48821,246.76,197.8481115,0.095085897,6.5,0.18179025,24751,0.104751958
12005,2010,m029,12005,12005,Belleville,0.417,0.417,1,2,0,0,0,1,,,,,0.752,0.201,0.551,0.449,3512005,Hastings,3512,Belleville,5,49454,247.21,200.0485417,0.111089418,7.9,0.192214358,27062,0.075452089
12005,2014,m029,12005,12005,Belleville,0.447,0.447,1,2,0,0,0,0,0.2,0,0.8,0,0.26,0.25,0.01,0.99,3512005,Hastings,3512,Belleville,5,51171.80822,250.1310959,204.5799545,0.098852764,7.45890411,0.202522885,29590.19178,0.074815857
29006,2000,m042,29006,29006,Brantford,0.469,0.469,0,1,0,0,0,0,,,,,0.456,0.3299,0.1261,0.8739,3529006,Brant County,3529,Brantford,6,86417,71.56,1207.615987,0.089689722,6.8,0.134753579,21928,0.146784141
29006,2003,m042,29006,29006,Brantford,0.35,0.35,0,1,0,0,0,0,,,,,0.4853,0.4847,0.0006,0.9994,3529006,Brant County,3529,Brantford,6,88304.5,72.015,1226.195931,0.090494756,6.75,0.140496142,24000.5,0.145624611
29006,2006,m042,29006,29006,Brantford,0.445,0.445,0,1,0,0,0,0,,,,,0.492,0.486,0.006,0.994,3529006,Brant,3529,Brantford,6,90192,72.47,1244.542569,0.09129979,6.7,0.146238705,26073,0.14446508
29006,2010,m042,29006,29006,Brantford,0.434,0.434,0,1,0,0,0,0,,,,,0.418,0.2016,0.2164,0.7836,3529006,Brant,3529,Brantford,6,93650,72.47,1292.258866,0.096542075,8,0.152322477,28916,0.128621908
29006,2014,m042,29006,29006,Brantford,0.376,0.376,1,1,0,0,0,0,0.151,0,0.849,0,0.3602,0.1862,0.174,0.826,3529006,Brant,3529,Brantford,6,96295.61644,72.99356164,1319.234385,0.098186537,8.120547945,0.159763751,31690.24658,0.125117356
41032,2000,m046,41030,41030,Brockton,0.446,0.446,0,2,0,0,0,0,,,,,0.665,0.335,0.33,0.67,3541032,Bruce County,3541,Brockton,32,9658,565.07,17.09168776,0.101644245,4.5,0.134085732,20740,0.056914894
41032,2003,m046,41030,41030,Brockton,0.493,0.493,0,2,0,0,0,0,,,,,0.518,0.482,0.036,0.964,3541032,Bruce County,3541,Brockton,32,9649.5,565.07,17.07664537,0.082448629,4.3,0.148474402,23155,0.054301329
41032,2006,m046,41030,41030,Brockton,0.415,0.415,0,2,0,0,0,0,,,,,0.63,0.369,0.261,0.739,3541032,Bruce,3541,Brockton,32,9641,565.07,17.06160299,0.063253012,4.1,0.162863071,25570,0.051687764
41032,2010,m046,41030,41030,Brockton,0.589,0.589,1,2,0,1,0,0,,,,,0.72,0.28,0.44,0.56,3541032,Bruce,3541,Brockton,32,9432,565.41,16.68170001,0.08266129,5.7,0.180805938,32063,0.045528455
41032,2014,m046,41030,41030,Brockton,0.523,0.523,1,2,0,1,1,0,0.831,0.169,0,1,0.52,0.48,0.04,0.96,3541032,Bruce,3541,Brockton,32,9393.589041,565.4565753,16.61239687,0.063231852,5.689041096,0.19982069,35731.35616,0.041677324
7015,2000,m047,7015,7015,Brockville,0.461,0.461,0,2,0,0,0,0,,,,,0.859,0.141,0.718,0.282,3507015,Leeds and Grenville United Counties,3507,Brockville,15,21375,20.73,1031.114327,0.132841328,9.5,0.196959064,21355,0.095890411
7015,2003,m047,7015,7015,Brockville,0.404,0.404,0,2,0,0,0,0,,,,,0.527,0.473,0.054,0.946,3507015,Leeds and Grenville United Counties,3507,Brockville,15,21666,20.735,1044.899928,0.114338264,8.55,0.202100575,22881.5,0.094798674
7015,2006,m047,7015,7015,Brockville,0.415,0.415,0,2,0,0,0,0,,,,,0.62,0.344,0.276,0.724,3507015,Leeds and Grenville,3507,Brockville,15,21957,20.74,1058.678881,0.095835199,7.6,0.207242086,24408,0.093706936
7015,2010,m047,7015,7015,Brockville,0.525,0.525,1,2,0,1,1,0,,,,,0.336,0.316,0.02,0.98,3507015,Leeds and Grenville,3507,Brockville,15,21870,20.9,1046.411483,0.110609481,8.3,0.227709191,26885,0.084588644
7015,2014,m047,7015,7015,Brockville,0.472,0.472,1,2,0,1,1,0,0.861,0.139,0,1,0.38,0.33,0.05,0.95,3507015,Leeds and Grenville,3507,Brockville,15,22192.93151,20.92767123,1060.458723,0.091342158,7.302739726,0.236429163,28980.83562,0.082083317
24002,2000,m052,24002,24002,Burlington,0.226,0.226,0,2,0,0,0,0,,,,,NA,NA,1,0,3524002,Halton Regional Municipality,3524,Burlington,2,150836,185.71,812.2125895,0.222635256,3.8,0.136074942,30559,0.212542158
24002,2003,m052,24002,24002,Burlington,0.165,0.165,0,2,0,0,0,0,,,,,NA,NA,1,0,3524002,Halton Regional Municipality,3524,Burlington,2,157625.5,185.725,848.7037286,0.21169758,4.2,0.145144183,32469,0.220131247
24002,2006,m052,24002,24002,Burlington,0.348,0.348,0,2,0,0,0,0,,,,,0.349,0.32,0.029,0.971,3524002,Halton,3524,Burlington,2,164415,185.74,885.1889738,0.200759904,4.6,0.154213423,34379,0.227720335
24002,2010,m052,24002,24002,Burlington,0.363,0.363,1,2,0,0,0,1,,,,,0.48,0.249,0.231,0.769,3524002,Halton,3524,Burlington,2,175779,185.66,946.7790585,0.221663934,5.8,0.16907979,38486,0.218254654
24002,2014,m052,24002,24002,Burlington,0.341,0.341,1,2,0,0,0,1,0.187,0,0.813,0,0.86,0.07,0.79,0.21,3524002,Halton,3524,Burlington,2,185148.2877,185.6663014,997.2099746,0.211941681,6.424657534,0.181552117,41246.41096,0.225690635
