csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
11035,2000,m001,11033,11033,Addington Highlands,0,1,0,0,0,3511035,Lennox and Addington County,3511,Addington Highlands,35,2402,1288.85,1.863676921,0.025641026,12.4,0.176935887,14803,0.04989154
39047,2000,m002,39010,39010,Adelaide-Metcalfe,0,0,0,0,0,3539047,Middlesex County,3539,Adelaide Metcalfe,47,3149,331.84,9.489513018,0.094871795,3,0.088917117,21390,0.115966387
18005,2000,m005,18005,18005,Ajax,0,0,0,0,0,3518005,Durham Regional Municipality,3518,Ajax,5,73753,67.09,1099.314354,0.151389171,5.4,0.070505607,30870,0.254352557
47002,2000,m014,47002,47002,Arnprior,0,0,0,0,0,3547002,Renfrew County,3547,Arnprior,2,7192,13.03,551.9570223,0.0997151,7.2,0.177280311,21749,0.0546875
7006,2000,m021,7006,7006,Augusta,0,0,0,0,0,3507006,Leeds and Grenville United Counties,3507,Augusta,6,7635,314.06,24.31064128,0.103231598,6.2,0.121807466,25947,0.090432503
12005,2000,m029,12005,12005,Belleville,0,0,0,0,0,3512005,Hastings County,3512,Belleville,5,45986,241.79,190.1898342,0.12016473,7.6,0.166354978,20907,0.09888163
29006,2000,m042,29006,29006,Brantford,0,0,0,0,0,3529006,Brant County,3529,Brantford,6,86417,71.56,1207.615987,0.089689722,6.8,0.134753579,21928,0.146784141
41032,2000,m046,41030,41030,Brockton,0,0,0,0,0,3541032,Bruce County,3541,Brockton,32,9658,565.07,17.09168776,0.101644245,4.5,0.134085732,20740,0.056914894
7015,2000,m047,7015,7015,Brockville,0,0,0,0,0,3507015,Leeds and Grenville United Counties,3507,Brockville,15,21375,20.73,1031.114327,0.132841328,9.5,0.196959064,21355,0.095890411
24002,2000,m052,24002,24002,Burlington,0,0,0,0,0,3524002,Halton Regional Municipality,3524,Burlington,2,150836,185.71,812.2125895,0.222635256,3.8,0.136074942,30559,0.212542158
30010,2000,m057,30006,30006,Cambridge,0,0,0,0,0,3530010,Waterloo Regional Municipality,3530,Cambridge,10,110372,112.82,978.3017196,0.104115439,5.3,0.100161273,25420,0.209210587
49036,2000,m059,49036,49036,Carling,0,1,0,0,0,3549036,Parry Sound District,3549,Carling,36,1063,244.09,4.354951043,0.193181818,5.8,0.258701787,19533,0.168949772
2044,2000,m062,2044,2044,Casselman,0,0,0,0,0,3502044,Prescott and Russell United Counties,3502,Casselman,44,2910,5,582,0.17433414,1.3,0.094501718,28002,0.015679443
15013,2000,m063,15012,15012,Cavan-Monaghan,0,0,0,0,0,3515013,Peterborough County,3515,Cavan-Millbrook-North Monaghan,13,8453,306.13,27.61245223,0.126397248,5.4,0.105879569,25687,0.074545455
10035,2000,m065,10025,10025,Central Frontenac,0,0,0,0,0,3510035,Frontenac County,3510,Central Frontenac,35,4557,970.18,4.697066524,0.080291971,6.2,0.18542901,16564,0.041248606
40025,2000,m066,40025,40025,Central Huron,0,0,0,0,0,3540025,Huron County,3540,Central Huron,25,7806,447.6,17.43967828,0.080631025,5.2,0.154368435,21087,0.104583602
2010,2000,m071,2005,2005,Champlain,0,1,0,0,0,3502010,Prescott and Russell United Counties,3502,Champlain,10,8591,207.18,41.46635776,0.122204473,5.3,0.129786986,21181,0.032563647
36020,2000,m075,36003,36003,Chatham-Kent,0,0,0,0,0,3536020,Chatham-Kent Division,3536,Chatham-Kent,20,107341,2457.97,43.67058996,0.093542666,8.3,0.137692028,23038,0.098075465
2036,2000,m078,2036,2036,Clarence-Rockland,0,1,0,0,0,3502036,Prescott and Russell United Counties,3502,Clarence-Rockland,36,19612,296.53,66.13833339,0.102238806,3.2,0.069855191,28336,0.033862985
43005,2000,m080,43030,43030,Clearview,0,0,0,0,0,3543005,Simcoe County,3543,Clearview,5,13796,557.32,24.75418072,0.096689438,3.7,0.122499275,23728,0.088038633
14021,2000,m082,14021,14021,Cobourg,0,0,0,0,0,3514021,Northumberland County,3514,Cobourg,21,17172,22.37,767.6352257,0.124649299,6.8,0.19129979,23550,0.111575179
